Species,,,,,,DT,,n,,BM,,SD,,MPS,,SD,,rMPS,
Monodelphis domestica,,Didelphimorphia      Didelphidae,,,,H,,2 (gs),,0.100,, ,,0.3096,,0.2087,,0.51,
Phascolarctos cinereus,,Diprodontia              Phascolarctidae,,,,H,,5,,6.190,,1.128,,0.2684,,0.0482,,0.18,
Vombatus ursinus,,Diprodontia              Vombatidae,,,,H,,3,,40.000,, ,,0.4195,,0.0716,,0.19,
Bettongia penicillata,,Diprodontia              Potoridae,,,,F,,2 (gs),,1.250,,0.354,,0.5253,,0.5419,,0.50,
Dendrolagus matschiei,,Diprodontia              Macropodidae,,,,F,,3,,13.000,, ,,0.7902,,0.0884,,0.45,
Macropus agilis,,Diprodontia              Macropodidae,,,,F,,2,,15.000,, ,,0.7302,,0.0285,,0.40,
Macropus fuliginosus,,Diprodontia              Macropodidae,,,,F,,1,,50.000,, ,,0.9027,, ,,0.38,
Macropus giganteus,,Diprodontia              Macropodidae,,,,F,,3,,60.000,,25.000,,0.6619,,0.4235,,0.27,
Macropus parma,,Diprodontia              Macropodidae,,,,F,,2 (gs),,6.000,, ,,0.257,,0.1152,,0.17,
Macropus rufogriseus,,Diprodontia              Macropodidae,,,,F,,3,,16.500,,0.866,,0.8935,,0.0916,,0.48,
Macropus rufus,,Diprodontia              Macropodidae,,,,F,,2,,62.500,, ,,1.2745,,0.3221,,0.51,
Wallabia bicolor,,Diprodontia              Macropodidae,,,,F,,2,,15.000,, ,,0.5967,,0.1061,,0.33,
Hapalemur griseus,,Primates                    Lemuridae,,,,H,,1,,1.200,, ,,1.3616,, ,,1.31,
Lemur catta,,Primates                    Lemuridae,,,,H,,3,,3.330,,0.289,,1.9137,,0.6248,,1.47,
Varecia variegata,,Primates                    Lemuridae,,,,H,,4,,4.000,, ,,2.1139,,0.8335,,1.56,
Alouatta palliata,,Primates                    Cebidae,,,,H,,1,,7.000,, ,,4.2799,, ,,2.79,
Lagothrix lagotricha,,Primates                    Cebidae,,,,H,,2,,7.500,,4.243,,1.4689,,0.5602,,0.94,
Pithecia pithecia,,Primates                    Cebidae,,,,H,,2,,1.800,,0.283,,0.3734,,0.0283,,0.33,
Cercopithecus pygerythrus,,Primates                    Cercopithecidae,,,,H,,1,,5.500,, ,,0.5246,, ,,0.36,
Macaca sylvanus,,Primates                    Cercopithecidae,,,,H,,1,,24.000,, ,,0.7321,, ,,0.36,
Mandrillus sphinx,,Primates                    Cercopithecidae,,,,H,,2,,27.500,,0.707,,1.2757,,0.4009,,0.62,
Presbytis obscurus,,Primates                    Cercopithecidae,,,,F,,1,,7.000,, ,,0.8022,, ,,0.52,
Presbytis entellus,,Primates                    Cercopithecidae,,,,F,,2 (gs),,20.000,,1.414,,0.7557,,0.0244,,0.39,
Presbytis cristata,,Primates                    Cercopithecidae,,,,F,,3 (gs),,13.170,,2.021,,0.9121,,0.1149,,0.52,
Pygathrix nemaeus,,Primates                    Cercopithecidae,,,,F,,5,,9.000,,1.414,,0.692,,0.2713,,0.43,
Theropithecus gelada,,Primates                    Cercopithecidae,,,,H,,6,,17.500,, ,,2.3431,,0.9424,,1.25,
Hylobates lar,,Primates                    Hylobatidae,,,,H,,2,,5.500,, ,,2.6485,,0.8821,,1.82,
Hylobates lar moloch,,Primates                    Hylobatidae,,,,H,,2,,5.500,,0.707,,1.4543,,0.2147,,1.00,
Hylobates syndactylus,,Primates                    Hylobatidae,,,,H,,4,,12.500,,1.683,,5.3762,,3.8075,,3.08,
Gorilla gorilla,,Primates                    Pongidae,,,,H,,8,,97.560,,55.537,,3.5757,,1.5837,,1.31,
Pan paniscus,,Primates                    Pongidae,,,,H,,5,,39.120,,9.366,,2.8217,,0.5834,,1.26,
Pan troglodytes,,Primates                    Pongidae,,,,H,,5,,52.220,,26.187,,2.887,,1.1119,,1.21,
