Species,DT,BM,MPS,rMPS
Monodelphis domestica,H,0.1,0.3096,0.51
Phascolarctos cinereus,H,6.19,0.2684,0.18
Vombatus ursinus,H,40,0.4195,0.19
Bettongia penicillata,F,1.25,0.5253,0.5
Dendrolagus matschiei,F,13,0.7902,0.45
Macropus agilis,F,15,0.7302,0.4
Macropus fuliginosus,F,50,0.9027,0.38
Macropus giganteus,F,60,0.6619,0.27
Macropus parma,F,6,0.257,0.17
Macropus rufogriseus,F,16.5,0.8935,0.48
Macropus rufus,F,62.5,1.2745,0.51
Wallabia bicolor,F,15,0.5967,0.33
Hapalemur griseus,H,1.2,1.3616,1.31
Lemur catta,H,3.33,1.9137,1.47
Varecia variegata,H,4,2.1139,1.56
Alouatta palliata,H,7,4.2799,2.79
Lagothrix lagotricha,H,7.5,1.4689,0.94
Pithecia pithecia,H,1.8,0.3734,0.33
Cercopithecus pygerythrus,H,5.5,0.5246,0.36
Macaca sylvanus,H,24,0.7321,0.36
Mandrillus sphinx,H,27.5,1.2757,0.62
Presbytis obscurus,F,7,0.8022,0.52
Presbytis entellus,F,20,0.7557,0.39
Presbytis cristata,F,13.17,0.9121,0.52
Pygathrix nemaeus,F,9,0.692,0.43
Theropithecus gelada,H,17.5,2.3431,1.25
Hylobates lar,H,5.5,2.6485,1.82
Hylobates lar moloch,H,5.5,1.4543,1
Hylobates syndactylus,H,12.5,5.3762,3.08
Gorilla gorilla,H,97.56,3.5757,1.31
Pan paniscus,H,39.12,2.8217,1.26
Pan troglodytes,H,52.22,2.887,1.21
Pongo pygmaeus,H,60,2.4292,0.99
Choloepus didactylus,F,10,0.4726,0.28
Lepus europaeus,H,4.5,0.3134,0.23
Oryctolagus cuniculus,H,4,0.3464,0.26
Cynomys ludovicianus,H,1.15,0.7907,0.77
Marmota bobac,H,5,0.1501,0.11
Marmota marmota,H,5,1.0513,0.74
Sciurus carolinensis,H,0.45,0.2941,0.35
Sciurus variegatoides,H,0.55,0.2928,0.33
Xerus inauris,H,0.75,0.5029,0.54
Castor canadensis,H,30,2.4945,1.18
Castor fiber,H,30,2.887,1.37
Pedetes capensis,H,3.5,0.2508,0.19
Jaculus jaculus,H,0.055,0.2095,0.4
Acomys russatus,H,0.045,0.4119,0.81
Lemniscomys barbarus,H,0.04,0.308,0.63
Mastomys natalensis,H,0.065,0.382,0.7
Micromys minutus,H,0.006,0.238,0.73
Mus musculus,H,0.02,0.2085,0.49
Cricetomys emini,H,1.25,0.3611,0.34
Cricetulus griseus,H,0.04,0.3046,0.62
Gerbillus perpallidus,H,0.04,0.2615,0.53
Graphiurus murinus,H,0.025,0.4441,1
Hypogeomys antimena,H,1.35,0.4323,0.4
Microtus brandti,H,0.05,0.1164,0.22
Microtus fortis,H,0.05,0.131,0.25
Phodopus roborovskii,H,0.03,0.2911,0.63
Phodopus sungorus,H,0.04,0.3074,0.62
Seketamys calurus,H,0.06,0.4073,0.76
Ctenodactylus gundi,H,0.25,0.1871,0.25
Atherurus africanus,H,1.75,0.3483,0.31
Hystrix africaeaustralis,H,15,1.3612,0.75
Hystrix cristata,H,20,1.9895,1.03
Hystrix indica,H,15,1.005,0.55
Petromus typicus,H,0.2,0.2471,0.35
Heterocephalus glaber,H,0.05,0.5468,1.06
Chinchilla chinchilla,H,0.55,0.1502,0.17
Lagostomus maximus,H,4.13,0.1375,0.1
Cavia aperea,H,0.63,0.1099,0.12
Cavia aperea f. porcellus,H,0.78,0.1228,0.13
Dolichotis patagonum,H,7.5,0.2308,0.15
Galea musteloides,H,0.45,0.1051,0.13
Kerodon rupestris,H,0.75,0.2233,0.24
Hydrochaerus hydrochaeris,H,40,0.3868,0.17
Dasyprocta azarae,H,3,0.9024,0.71
Dasyprocta leporina,H,3.25,0.5393,0.42
Octodon degus,H,0.23,0.1441,0.2
Spalacopus cyanus,H,0.09,0.2852,0.48
Capromys pilorides,H,5,0.126,0.09
Myocastor coypus,H,7.6,0.765,0.49
Procavia capensis,H,3.08,1.4364,1.12
Elephas maximus,H,3183.67,7.0195,1.19
Loxodonta africana,H,2764.62,7.2848,1.27
Trichechus manatus,H,850,6.7287,1.53
Equus africanus f. asinus,H,216.36,1.0646,0.33
Equus africanus somalicus,H,268.75,1.3898,0.41
Equus grevyi,H,342,1.6918,0.47
Equus hemionus kiang,H,245,0.6449,0.19
Equus hemionus kulan,H,250,0.9464,0.28
Equus hemionus onager,H,250,0.9268,0.28
Equus przewalskii,H,292,0.5305,0.15
Equus przewalskii f. caballus,H,460,1.1642,0.3
Equus quagga antiquorum,H,216.67,1.4914,0.46
Equus quagga boehmi,H,275,1.9624,0.57
Equus quagga burchelli,H,215,1.0146,0.31
Equus quagga chapmani,H,290,1.4985,0.43
Equus zebra hartmannae,H,314,1.1418,0.32
Ceratotherium simum,H,1938.75,10.0477,1.9
Diceros bicornis,H,985,10.2459,2.25
Rhinoceros unicornis,H,2150,5.227,0.97
Tapirus indicus,H,275,4.1099,1.19
Tapirus terrestris,H,195.5,2.968,0.93
Ailuropoda melanoleuca,H,98.75,11.115,4.05
Ailurus fulgens,H,5,1.0317,0.72
Babyrousa babyrussa,F,60,3.555,1.44
Phacochoerus aethiopicus,H,85,2.1359,0.8
Tayassu tajacu,H,23,0.5969,0.3
Choeropsis liberiensis,F,250,11.788,3.5
Hippopotamus amphibius,F,2391.6,17.807,3.22
Camelus dromedarius,R,460,0.4436,0.12
Camelus ferus,R,650,0.5656,0.14
Lama guanicoe,R,90,0.199,0.07
Lama guanicoe f. glaman,R,120,0.1378,0.05
Lama guanicoe f. pacos,R,65,0.1441,0.06
Lama vicugna,R,51,0.3996,0.17
Tragulus javanicus,R,2,0.2681,0.23
Antilocapra americana,R,40,0.2866,0.13
Giraffa camelopardalis,R,672.14,0.7398,0.18
Okapia johnstoni,R,243.33,0.7485,0.22
Alces alces,R,320,0.716,0.2
Axis axis,R,85,0.3924,0.15
Blastocerus dichotomus,R,80,0.4733,0.18
Capreolus capreolus,R,25,0.2265,0.11
Cervus albirostris,R,130,0.4613,0.16
Cervus elaphus,R,170,0.4713,0.15
Cervus eldi,R,120,0.3671,0.13
Cervus nippon,R,70,0.3554,0.14
Cervus timorensis,R,150,0.3379,0.11
Cervus unicolor,R,200,0.3904,0.12
Dama dama,R,60,0.2892,0.12
Elaphodus cephalophus,R,35,0.4472,0.2
Muntiacus muntjak,R,25,0.283,0.14
Muntiacus reevesi,R,11.4,0.2754,0.16
Odocoileus hemionus,R,80,0.2922,0.11
Odocoileus virginianus,R,70,0.2128,0.08
Ozotoceros beoarticus,R,35,0.4471,0.2
Pudu pudu,R,12,0.5857,0.34
Rangifer tarandus,R,180,0.2936,0.09
Addax nasomaculatus,R,85,0.3139,0.12
Aepyceros melampus,R,55,0.2818,0.12
Alcelaphus buselaphus,R,180,0.4226,0.13
Antidorcas marsupialis,R,30,0.3498,0.17
Antilope cervicapra,R,33,0.492,0.23
Bison bison,R,650,0.4499,0.11
Bison bonasus,R,600,0.459,0.11
Bos frontalis,R,800,0.3989,0.09
Bos grunniens,R,400,0.4623,0.12
Bos javanicus,R,600,0.4023,0.1
Bos primigenius f. taurus,R,661.67,0.2539,0.06
Boselaphus tragocamelus,R,220,0.7075,0.22
Bubalus arnee,R,900,0.6085,0.14
Bubalus depressicornis,R,150,0.2581,0.09
Budorcas taxicolor,R,270,0.339,0.1
Capra falconeri,R,50,0.3216,0.14
Capra hircus,R,40,0.1929,0.09
Capra ibex,R,60,0.409,0.17
Cephalophus monticola,R,7,0.1521,0.1
Cephalophus natalensis,R,12.4,0.2617,0.15
Cervus duvauceli,R,200,0.2185,0.07
Connochaetes gnou,R,160,0.2942,0.1
Damaliscus pygargus,R,65,0.1712,0.07
Dorcatragus megalotis,R,10,0.2144,0.13
Elaphurus davidianus,R,120,0.274,0.1
Gazella dama,R,50,0.4539,0.19
Gazella dorcas,R,18,0.2481,0.13
Gazella subgutturosa,R,27,0.2705,0.13
Hippotragus equinus,R,270,0.3811,0.11
Hippotragus niger,R,220,0.4944,0.15
Kobus ellipsiprymnus,R,190,0.3848,0.12
Kobus leche,R,90,0.3145,0.12
Litocranius walleri,R,37,0.2104,0.1
Madoqua kirki,R,4.75,0.264,0.19
Nemorhaedus goral,R,35,0.2205,0.1
Oreamnos americanus,R,60,0.2137,0.09
Oreotragus oreotragus,R,13.75,0.2924,0.16
Oryx dammah,R,180,0.6202,0.2
Oryx gazella,R,200,0.2802,0.09
Ovibos moschatus,R,252,0.3318,0.1
Ovis ammon aries,R,25,0.3504,0.17
Ovis ammon musimon,R,40,0.3095,0.14
Pseudois nayaur,R,27,0.3217,0.16
Redunca redunca,R,50,0.2945,0.12
Rupicapra rupicapra,R,50,0.4014,0.17
